"Datetime","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"12-05-2020 02:50","NIFTY14MAY208950CE","285.85","66975","-23.30","-7.54","0.06","0.06","44.48","46.77","43.09","45.45","43.20","45.56","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209000CE","244.90","7394850","-21.40","-8.04","2.38","1.52","43.88","45.79","43.28","45.21","43.83","45.75","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209050CE","209.55","2214150","-13.65","-6.12","0.65","0.61","43.42","45.03","42.84","44.46","42.82","44.44","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209100CE","174.95","27490500","-17.15","-8.93","6.33","5.20","42.59","44.33","42.29","44.04","42.41","44.16","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209150CE","144.50","7014825","-18.60","-11.40","1.69","1.59","42.69","43.86","42.35","43.52","42.47","43.64","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209200CE","117.80","34242525","-15.70","-11.76","13.85","7.99","42.87","43.88","42.72","43.74","42.74","43.75","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209250CE","95.00","7473900","-12.65","-11.75","2.67","1.42","42.84","43.73","42.62","43.50","42.78","43.67","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209300CE","76.35","28678500","-9.75","-11.32","12.91","2.03","43.41","44.19","43.27","44.06","43.25","44.04","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209350CE","60.20","4883700","-8.75","-12.69","3.24","0.94","43.77","44.47","43.58","44.29","43.54","44.24","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209400CE","47.35","22393875","-6.25","-11.66","13.21","-1.26","43.98","44.62","43.87","44.50","44.05","44.68","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209450CE","36.90","3709350","-4.35","-10.55","2.16","0.40","44.61","45.19","44.48","45.06","44.48","45.06","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY208950CE","286.20","67125","-22.95","-7.42","0.06","0.06","43.55","45.74","42.10","44.36","42.10","44.36","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209000CE","247.05","7397325","-19.25","-7.23","2.38","1.52","43.19","45.01","42.61","44.45","41.79","43.65","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209050CE","209.95","2216025","-13.25","-5.94","0.65","0.61","43.00","44.51","42.40","43.92","42.42","43.94","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209100CE","175.90","27520800","-16.20","-8.43","6.33","5.20","42.68","43.96","42.42","43.71","42.70","43.98","14 May 2020"
