"Datetime","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"12-05-2020 02:50","NIFTY14MAY208950PE","32.80","4565100","-3.40","-9.39","1.86","0.32","44.48","43.95","44.29","43.76","44.43","43.89","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209000PE","43.30","42252225","-3.70","-7.87","20.70","5.44","44.04","43.46","43.92","43.34","44.14","43.55","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209050PE","56.70","5995725","-2.40","-4.06","2.28","1.33","43.82","43.18","43.72","43.07","43.72","43.07","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209100PE","72.90","32166525","-2.15","-2.86","12.71","6.91","43.55","42.83","43.39","42.67","43.51","42.79","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209150PE","92.90","4030875","-0.35","-0.38","2.03","0.89","43.67","42.62","43.54","42.49","43.82","42.77","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209200PE","115.90","13258050","0.75","0.65","10.65","0.38","43.40","42.48","43.22","42.30","43.35","42.42","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209250PE","142.90","659100","3.10","2.22","0.73","-0.52","43.56","42.50","43.21","42.15","43.60","42.54","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209300PE","174.70","4085250","6.60","3.93","5.47","-1.61","44.22","42.64","43.90","42.30","44.22","42.64","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209350PE","207.65","99750","7.20","3.59","0.54","-0.11","44.79","43.36","43.93","42.49","44.58","43.16","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209400PE","244.60","1129725","9.95","4.24","2.10","-0.94","45.49","43.32","44.93","42.74","45.18","43.00","14 May 2020"
"12-05-2020 02:50","NIFTY14MAY209450PE","284.95","28125","11.25","4.11","0.15","-0.05","46.70","44.16","45.43","42.82","46.38","43.83","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY208950PE","32.30","4576575","-3.90","-10.77","1.86","0.32","44.53","44.04","44.42","43.93","44.48","43.99","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209000PE","42.75","42309825","-4.25","-9.04","20.70","5.44","44.10","43.57","43.98","43.45","44.01","43.47","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209050PE","55.95","6006075","-3.15","-5.33","2.28","1.33","43.88","43.29","43.73","43.14","43.84","43.24","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209100PE","72.30","32220675","-2.75","-3.66","12.71","6.91","43.73","43.07","43.59","42.93","43.59","42.93","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209150PE","92.00","4042800","-1.25","-1.34","2.03","0.89","43.59","42.84","43.42","42.68","43.53","42.79","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209200PE","114.80","13302600","-0.35","-0.30","10.65","0.38","43.62","42.77","43.40","42.55","43.40","42.55","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209250PE","141.55","661500","1.75","1.25","0.73","-0.52","43.90","42.94","43.55","42.58","43.96","42.99","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209300PE","172.15","4096725","4.05","2.41","5.47","-1.61","44.12","43.00","43.76","42.63","43.83","42.71","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209350PE","207.65","99750","7.20","3.59","0.54","-0.11","45.02","43.72","44.23","42.92","45.36","44.07","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209400PE","244.00","1130700","9.35","3.98","2.10","-0.94","45.46","43.94","44.80","43.26","45.76","44.25","14 May 2020"
"12-05-2020 02:51","NIFTY14MAY209450PE","283.50","28200","9.80","3.58","0.15","-0.05","46.08","44.30","45.06","43.23","46.52","44.75","14 May 2020"
"12-05-2020 02:52","NIFTY14MAY209000PE","39.55","42438600","-7.45","-15.85","20.59","5.33","44.70","43.77","44.58","43.64","44.68","43.74","14 May 2020"
